Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds,Key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.3125,-320,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,yes,,,,3.95,+295,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Either Player Home Run,no,,,,1.25641026,-390,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs Milestones,2+,,Nick Castellanos,,41.0,+4000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Home Runs Milestones,2+,,Trea Turner,,31.0,+3000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,1st Home Run,yes,,Brandon Marsh,,10.5,+950,key
MIA Marlins(away) vs PHI Phillies(home),MLB,1st Home Run,no,,Brandon Marsh,,1.025,-4000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,1st Home Run,yes,,Johan Rojas,,18.0,+1700,key
MIA Marlins(away) vs PHI Phillies(home),MLB,1st Home Run,yes,,Kody Clemens,,9.5,+850,key
MIA Marlins(away) vs PHI Phillies(home),MLB,1st Home Run,no,,Kody Clemens,,1.03333334,-3000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Alec Bohm,1.5,2.45,+145,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Alec Bohm,1.5,1.5,-200,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Brandon Marsh,0.5,1.5,-200,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Brandon Marsh,0.5,2.45,+145,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Bryson Stott,1.5,2.75,+175,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Bryson Stott,1.5,1.40816327,-245,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Garrett Stubbs,0.5,1.76923077,-130,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,under,,Garrett Stubbs,0.5,1.95238096,-105,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits,over,,Johan Rojas,0.5,1.51282052,-195,key
