Teams,League,Category,Designation,Side,Name,Points,PB Decimal Odds,PB American Odds,Key,Date
TEN(away) vs MIA(home),NFL,Quarterback To Get,over,,W. Levis,299.5,14.0,1300,pp;0;ss;tdp;299.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,over,,D. Achane,55.5,1.8696,-115,pp;0;ou;ruy;55.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,under,,D. Achane,55.5,1.8696,-115,pp;0;ou;ruy;55.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,over,,T. Pollard,50.5,1.8696,-115,pp;0;ou;ruy;50.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,under,,T. Pollard,50.5,1.8696,-115,pp;0;ou;ruy;50.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,over,,T. Spears,20.5,1.8,-125,pp;0;ou;ruy;20.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,under,,T. Spears,20.5,1.9524,-105,pp;0;ou;ruy;20.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,over,,T. Huntley,30.5,1.9091,-110,pp;0;ou;ruy;30.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,under,,T. Huntley,30.5,1.8334,-120,pp;0;ou;ruy;30.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,over,,W. Levis,15.5,1.8696,-115,pp;0;ou;ruy;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Yards,under,,W. Levis,15.5,1.8696,-115,pp;0;ou;ruy;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Attempts Over/Under,over,,T. Pollard,12.5,1.8334,-120,pp;0;ou;rut;12.5,2024-09-30
TEN(away) vs MIA(home),NFL,Rushing Attempts Over/Under,under,,T. Pollard,12.5,1.9091,-110,pp;0;ou;rut;12.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,D. Achane,19.5,1.0834,-1199,pp;0;ss;ruy;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,D. Achane,34.5,1.2667,-375,pp;0;ss;ruy;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,D. Achane,49.5,1.625,-160,pp;0;ss;ruy;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,D. Achane,64.5,2.2,120,pp;0;ss;ruy;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,D. Achane,79.5,3.2,220,pp;0;ss;ruy;79.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,D. Achane,94.5,5.0,400,pp;0;ss;ruy;94.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,D. Achane,109.5,7.5,650,pp;0;ss;ruy;109.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,D. Achane,124.5,12.0,1100,pp;0;ss;ruy;124.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Pollard,19.5,1.1112,-899,pp;0;ss;ruy;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Pollard,34.5,1.3637,-275,pp;0;ss;ruy;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Pollard,49.5,1.8334,-120,pp;0;ss;ruy;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Pollard,64.5,2.65,165,pp;0;ss;ruy;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Pollard,79.5,4.1,310,pp;0;ss;ruy;79.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Pollard,94.5,6.0,500,pp;0;ss;ruy;94.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Pollard,109.5,10.0,900,pp;0;ss;ruy;109.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Pollard,124.5,15.0,1400,pp;0;ss;ruy;124.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Spears,19.5,1.7143,-140,pp;0;ss;ruy;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Spears,34.5,2.9,190,pp;0;ss;ruy;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Spears,49.5,5.0,400,pp;0;ss;ruy;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Spears,64.5,9.0,800,pp;0;ss;ruy;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Spears,79.5,16.0,1500,pp;0;ss;ruy;79.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Huntley,19.5,1.3847,-260,pp;0;ss;ruy;19.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Huntley,34.5,2.2,120,pp;0;ss;ruy;34.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Huntley,49.5,4.1,310,pp;0;ss;ruy;49.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Huntley,64.5,7.5,650,pp;0;ss;ruy;64.5,2024-09-30
TEN(away) vs MIA(home),NFL,Running Back To Get,over,,T. Huntley,79.5,16.0,1500,pp;0;ss;ruy;79.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,C. Ridley,40.5,1.8,-125,pp;0;ou;rey;40.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,C. Ridley,40.5,1.9524,-105,pp;0;ou;rey;40.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,over,,C. Okonkwo,15.5,1.7693,-130,pp;0;ou;rey;15.5,2024-09-30
TEN(away) vs MIA(home),NFL,Receiving Yards,under,,C. Okonkwo,15.5,2.0,100,pp;0;ou;rey;15.5,2024-09-30
