Period,GameId,Teams,League,Designation,Side,Points,Key,BO Odds,BO dec_odds,Category,Date,Name
Game,490457438,KAN(away) vs MIN(home),MLB,over,,8.0,s;0;ou;8,-125,1.8,total,2024-08-12,
Game,490457438,KAN(away) vs MIN(home),MLB,under,,8.0,s;0;ou;8,105,2.05,total,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,,away,0.5,s;-1;s;-0.5,-107,1.93,spread,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,,away,,s;-1;m,140,2.4,moneyline,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,over,away,1.5,s;-1;tt;1.5;away,-130,1.77,team_total,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,under,away,1.5,s;-1;tt;1.5;away,100,2.0,team_total,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,,home,-0.5,s;-1;s;-0.5,-113,1.88,spread,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,,home,,s;-1;m,-160,1.62,moneyline,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,over,home,2.5,s;-1;tt;2.5;home,110,2.1,team_total,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,under,home,2.5,s;-1;tt;2.5;home,-140,1.71,team_total,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,over,,4.5,s;-1;ou;4.5,-102,1.98,total,2024-08-12,
1st 5 Innings,490457438,KAN(away) vs MIN(home),MLB,under,,4.5,s;-1;ou;4.5,-118,1.85,total,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,,away,-1.5,s;0;s;1.5,155,2.55,spread,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,,away,,s;0;m,-105,1.95,moneyline,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,over,away,3.5,s;0;tt;3.5;away,-140,1.71,team_total,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,under,away,3.5,s;0;tt;3.5;away,110,2.1,team_total,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,,home,1.5,s;0;s;1.5,-175,1.57,spread,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,,home,,s;0;m,-105,1.95,moneyline,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,over,home,3.5,s;0;tt;3.5;home,-135,1.74,team_total,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,under,home,3.5,s;0;tt;3.5;home,105,2.05,team_total,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,over,,8.0,s;0;ou;8,-117,1.85,total,2024-08-12,
Game,490457432,LAD(away) vs MIL(home),MLB,under,,8.0,s;0;ou;8,-103,1.97,total,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,,away,0.5,s;-1;s;-0.5,-148,1.68,spread,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,,away,,s;-1;m,-107,1.93,moneyline,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,over,away,1.5,s;-1;tt;1.5;away,-170,1.59,team_total,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,under,away,1.5,s;-1;tt;1.5;away,140,2.4,team_total,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,,home,-0.5,s;-1;s;-0.5,128,2.28,spread,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,,home,,s;-1;m,-113,1.88,moneyline,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,over,home,2.5,s;-1;tt;2.5;home,130,2.3,team_total,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,under,home,2.5,s;-1;tt;2.5;home,-160,1.62,team_total,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,over,,4.5,s;-1;ou;4.5,-105,1.95,total,2024-08-12,
1st 5 Innings,490457432,LAD(away) vs MIL(home),MLB,under,,4.5,s;-1;ou;4.5,-115,1.87,total,2024-08-12,
