,Name,GameId,teams,League,Designation,Side,Point,Odds,Category,Units,dec_odds,PlayName
17,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,29.5,-114,Player Props,Receiving Yards,1.88,Tyler Higbee
18,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,29.5,-114,Player Props,Receiving Yards,1.88,Alvin Kamara
19,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,29.5,-114,Player Props,Receiving Yards,1.88,Alvin Kamara
20,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,20.5,-114,Player Props,Receiving Yards,1.88,Kyren Williams
21,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,20.5,-114,Player Props,Receiving Yards,1.88,Kyren Williams
22,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,65.5,-114,Player Props,Receiving Yards,1.88,Puka Nacua
23,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,65.5,-114,Player Props,Receiving Yards,1.88,Puka Nacua
24,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,73.5,-114,Player Props,Receiving Yards,1.88,Cooper Kupp
25,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,73.5,-114,Player Props,Receiving Yards,1.88,Cooper Kupp
26,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,103,Player Props,Rushing Yards,2.03,Matthew Stafford
27,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,0.5,-133,Player Props,Rushing Yards,1.75,Matthew Stafford
28,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,49.5,-116,Player Props,Rushing Yards,1.86,Alvin Kamara
29,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,49.5,-111,Player Props,Rushing Yards,1.9,Alvin Kamara
30,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,88.5,-120,Player Props,Rushing Yards,1.83,Kyren Williams
31,,187083,new orleans saints(away) vs los angeles rams(home),NFL,under,,88.5,-108,Player Props,Rushing Yards,1.93,Kyren Williams
32,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,18.5,-175,Player Props,Carries,1.57,Kyren Williams
33,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,24.5,221,Player Props,Carries,3.21,Kyren Williams
34,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,25.5,274,Player Props,Carries,3.74,Kyren Williams
35,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,19.5,-135,Player Props,Carries,1.74,Kyren Williams
36,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,23.5,178,Player Props,Carries,2.78,Kyren Williams
37,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,22.5,144,Player Props,Carries,2.44,Kyren Williams
38,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,26.5,342,Player Props,Carries,4.42,Kyren Williams
39,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,21.5,117,Player Props,Carries,2.17,Kyren Williams
40,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,20.5,-105,Player Props,Carries,1.95,Kyren Williams
41,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,41.5,230,Player Props,Pass Attempts,3.3,Matthew Stafford
42,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,35.5,-114,Player Props,Pass Attempts,1.88,Matthew Stafford
43,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,39.5,167,Player Props,Pass Attempts,2.67,Matthew Stafford
44,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,38.5,142,Player Props,Pass Attempts,2.42,Matthew Stafford
45,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,40.5,196,Player Props,Pass Attempts,2.96,Matthew Stafford
46,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,34.5,-139,Player Props,Pass Attempts,1.72,Matthew Stafford
47,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,36.5,103,Player Props,Pass Attempts,2.03,Matthew Stafford
48,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,37.5,121,Player Props,Pass Attempts,2.21,Matthew Stafford
49,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,33.5,-169,Player Props,Pass Attempts,1.59,Matthew Stafford
50,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,26.5,248,Player Props,Pass Completions,3.48,Matthew Stafford
51,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,25.5,200,Player Props,Pass Completions,3.0,Matthew Stafford
52,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,23.5,130,Player Props,Pass Completions,2.3,Matthew Stafford
53,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,24.5,161,Player Props,Pass Completions,2.61,Matthew Stafford
54,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,19.5,-213,Player Props,Pass Completions,1.47,Matthew Stafford
55,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,27.5,309,Player Props,Pass Completions,4.09,Matthew Stafford
56,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,22.5,105,Player Props,Pass Completions,2.05,Matthew Stafford
57,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,20.5,-159,Player Props,Pass Completions,1.63,Matthew Stafford
58,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,21.5,-119,Player Props,Pass Completions,1.84,Matthew Stafford
59,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,-118,Player Props,Pass Interceptions,1.85,Matthew Stafford
60,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,450,Player Props,Pass Interceptions,5.5,Matthew Stafford
61,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,1500,Player Props,Pass Interceptions,16.0,Matthew Stafford
62,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,1.5,-135,Player Props,Passing TDs,1.74,Matthew Stafford
63,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,0.5,-1000,Player Props,Passing TDs,1.1,Matthew Stafford
64,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,2.5,211,Player Props,Passing TDs,3.11,Matthew Stafford
65,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,4.5,1585,Player Props,Passing TDs,16.85,Matthew Stafford
66,,187083,new orleans saints(away) vs los angeles rams(home),NFL,over,,3.5,572,Player Props,Passing TDs,6.72,Matthew Stafford
