,Teams,League,Category,Designation,Side,Name,Points,Odds,Units
521,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Edmonton Oilers By 1,0.0,3.4,
522,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Edmonton Oilers By 2,0.0,6.5,
523,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Edmonton Oilers By 3,0.0,7.0,
524,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Edmonton Oilers By 4,0.0,14.0,
525,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Edmonton Oilers By 5+,0.0,18.0,
526,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Florida Panthers By 1,0.0,4.0,
527,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Florida Panthers By 2,0.0,8.0,
528,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Florida Panthers By 3,0.0,9.0,
529,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Florida Panthers By 4,0.0,18.0,
530,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winning Margin (Exact OF),,Neither,Florida Panthers By 5+,0.0,31.0,
531,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Goal To Be Scored In All 3 Periods OF,,Neither,Yes,0.0,1.6061,
532,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Goal To Be Scored In All 3 Periods OF,,Neither,No,0.0,2.25,
533,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread And Total,over,Home,Edmonton Oilers -1.5 And Over 5.5,0.0,5.0,
534,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread And Total,under,Home,Edmonton Oilers -1.5 And Under 5.5,0.0,6.0,
535,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread And Total,over,Away,Florida Panthers +1.5 And Over 5.5,0.0,3.0,
536,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread And Total,under,Away,Florida Panthers +1.5 And Under 5.5,0.0,2.3,
537,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winner And Total,over,Neither,Edmonton Oilers And Over 5.5,0.0,3.4,
538,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winner And Total,under,Neither,Edmonton Oilers And Under 5.5,0.0,3.0,
539,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winner And Total,over,Neither,Florida Panthers And Over 5.5,0.0,4.1,
540,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Winner And Total,under,Neither,Florida Panthers And Under 5.5,0.0,3.8,
541,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Team Scoring 1st Wins Game OF,,Neither,Edmonton Oilers,0.0,2.1,
542,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Team Scoring 1st Wins Game OF,,Neither,Florida Panthers,0.0,2.6,
