Teams,League,Category,Designation,Side,Name,Points,Odds,Units
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 12 To 13,0.0,18.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - AWAYTEAM OF,,Away,Cincinnati Reds 14 Or More,13.5,101.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 4 To 5,0.0,5.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 6 To 7,0.0,2.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 8 To 9,0.0,3.2,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 10 To 11,0.0,11.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 12 To 13,0.0,46.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Total Match Hits - Bands - HOMETEAM OF,,Home,Chicago Cubs 14 Or More,13.5,301.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Away,Cincinnati Reds,0.0,9.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,1.1112,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Home,Chicago Cubs,0.0,5.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Away,Cincinnati Reds,0.0,3.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,1.6667,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Home,Chicago Cubs,0.0,3.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Away,Cincinnati Reds,0.0,2.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,3.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Home,Chicago Cubs,0.0,10.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Away,Cincinnati Reds,0.0,5.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,1.25,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Runs OF,,Neither,Neither,0.0,1.05,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,29.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.01,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,6.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,3.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.5883,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,21.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,12.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.08,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,4.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,2.1,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,2.85,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,16.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.02,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,3.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,1.4762,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,8.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Home,Chicago Cubs,0.0,11.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Away,Cincinnati Reds,0.0,5.25,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,Race To 'X' Hits OF,,Neither,Neither,0.0,1.2,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 5-4,0.0,6.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 6-4,0.0,16.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 6-5,0.0,23.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 7-4,0.0,29.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 7-5,0.0,46.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 7-6,0.0,71.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 8-4,0.0,46.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 8-5,0.0,101.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 8-6,0.0,101.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 8-7,0.0,176.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 9-4,0.0,81.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 9-5,0.0,201.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 9-6,0.0,451.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 9-7,0.0,401.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 9-8,0.0,451.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 10-4,0.0,101.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 10-5,0.0,401.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 10-7,0.0,401.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 10-8,0.0,501.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Home,Chicago Cubs 10-9,0.0,501.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 4-3,0.0,3.3,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 5-3,0.0,8.5,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 5-4,0.0,16.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 6-3,0.0,14.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 6-4,0.0,16.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 6-5,0.0,31.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 7-3,0.0,23.0,
Cincinnati Reds(away) vs Chicago Cubs(home),MLB,9 Inning Correct Score OF,,Away,Cincinnati Reds 7-4,0.0,26.0,
