Teams_x,League_x,Category_x,Designation_x,Side_x,Name_x,Points_x,PB Decimal Odds,PB American Odds,Key,Period,GameId,Teams_y,League_y,Designation_y,Side_y,Points_y,BO Odds,BO dec_odds,Category_y,Name_y,Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 3.5,3.5,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.8,-125.0,,,,,,,,,,,,,,,,,,,,,
Toronto Blue Jays(away) vs Seattle Mariners(home),MLB,Total Runs - HOMETEAM OF,under,Home,Under 3.5,3.5,1.9524,-105.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Moneyline OF,,Home,San Diego Padres,0.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Moneyline OF,,Away,Arizona Diamondbacks,0.0,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Run Line,,Home,San Diego Padres +1.5,1.5,1.5556,-180.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Run Line,,Away,Arizona Diamondbacks -1.5,-1.5,2.5,150.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Total Runs OF,over,Neither,Over 8.5,8.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Total Runs OF,under,Neither,Under 8.5,8.5,1.9091,-110.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Total Runs - AWAYTEAM OF,over,Away,Over 4.5,4.5,2.15,115.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Total Runs - AWAYTEAM OF,under,Away,Under 4.5,4.5,1.6667,-150.0,,,,,,,,,,,,,,,,,,,,,
Arizona Diamondbacks(away) vs San Diego Padres(home),MLB,Total Runs - HOMETEAM OF,over,Home,Over 3.5,3.5,1.7693,-130.0,,,,,,,,,,,,,,,,,,,,,
